aav_titer,cell_type,cells,normalized_cells_cpm
7m8_1e10,Muller Glia,1,25.938991492010793
7m8_1e10,On-Bipolar,1,20.862889092881584
7m8_1e10,Retinal Ganglion Cell,18,599.0415335463258
7m8_e11,Amacrine Cell,4,329.0014805066623
7m8_e11,Cone,2,280.4655728509325
7m8_e11,Glia,2,31.850176768481067
7m8_e11,Horizontal Cell,1,177.11654268508678
7m8_e11,Microglia,1,20.281507321624144
7m8_e11,Muller Glia,10,259.3899149201079
7m8_e11,On-Bipolar,2,41.72577818576317
7m8_e11,Retinal Ganglion Cell,129,4293.130990415336
7m8_e12,Amacrine Cell,18,1480.5066622799804
7m8_e12,Cone,8,1121.86229140373
7m8_e12,Glia,9,143.3257954581648
7m8_e12,Horizontal Cell,3,531.3496280552604
7m8_e12,Microglia,15,304.22260982436217
7m8_e12,Muller Glia,64,1660.0954554886907
7m8_e12,Off-Bipolar,1,72.02016564638099
7m8_e12,On-Bipolar,18,375.53200367186844
7m8_e12,Retinal Ganglion Cell,817,27189.82960596379
7m8_e12,Rod,12,63.18616223047153
7m8_e13,Amacrine Cell,116,9541.042934693207
7m8_e13,Cone,68,9535.829476931707
7m8_e13,Glia,85,1353.6325126604454
7m8_e13,Horizontal Cell,51,9032.943676939427
7m8_e13,Microglia,74,1500.8315418001864
7m8_e13,Muller Glia,376,9753.060800996056
7m8_e13,Off-Bipolar,30,2160.6049693914297
7m8_e13,On-Bipolar,184,3838.771593090211
7m8_e13,Retinal Ganglion Cell,3131,104199.94675186368
7m8_e13,Rod,126,663.454703419951
