umap1,umap2,cell_type
2.2852859497070312,6.9251556396484375,Pericyte
2.2813239097595215,6.950377464294434,Pericyte
2.2436935901641846,6.732874393463135,Pericyte
2.390249490737915,6.811061382293701,Pericyte
2.4644525051116943,6.714758396148682,Pericyte
2.4907212257385254,6.856943607330322,Pericyte
2.447345495223999,6.872194290161133,Pericyte
2.503042459487915,6.730292320251465,Pericyte
2.5111899375915527,6.73892355,Pericyte
2.5613107681274414,6.831221580505371,Pericyte
2.413266181945801,6.841961384,Pericyte
2.390251398086548,6.781105995178223,Pericyte
2.4037344455718994,6.810413360595703,Pericyte
2.3204152584075928,6.997217655181885,Pericyte
2.391390085220337,6.788363456726074,Pericyte
2.3687984943389893,6.758424282073975,Pericyte
2.280909538269043,6.721198081970215,Pericyte
2.358718156814575,6.7458720207214355,Pericyte
2.479952335357666,6.936875343322754,Pericyte
2.3186633586883545,6.6394453048706055,Pericyte
2.440974473953247,6.804172039031982,Pericyte
2.3774890899658203,6.839794158935547,Pericyte
2.370504379272461,6.787405967712402,Pericyte
2.8052265644073486,6.309237003326416,Pericyte
2.4432735443115234,6.877283573150635,Pericyte
2.351677417755127,6.914036273956299,Pericyte
2.476997137069702,6.768444538116455,Pericyte
2.421989917755127,6.698358058929443,Pericyte
2.397259473800659,6.759747505187988,Pericyte
2.304173469543457,6.878592014312744,Pericyte
2.343433141708374,6.882542133331299,Pericyte
2.5143730640411377,6.850564002990723,Pericyte
2.3323781490325928,6.844171047210693,Pericyte
2.3722634315490723,6.791498661,Pericyte
2.3236846923828125,6.907913684844971,Pericyte
2.412344455718994,6.791719913482666,Pericyte
2.447705030441284,6.808553218841553,Pericyte
2.4701409339904785,6.8696722984313965,Pericyte
2.2405529022216797,6.984995365142822,Pericyte
2.379798412322998,6.796132564544678,Pericyte
2.331263542175293,6.926413059234619,Pericyte
2.4048399925231934,6.749406337738037,Pericyte
2.3936078548431396,6.946191787719727,Pericyte
2.399148464202881,6.897413730621338,Pericyte
2.381235122680664,6.675036907196045,Pericyte
2.418609857559204,6.788431644439697,Pericyte
2.3441054821014404,6.914072513580322,Pericyte
2.2624776363372803,6.974269866943359,Pericyte
2.455991744995117,6.809162139892578,Pericyte
2.401174783706665,6.768245697021484,Pericyte
2.511178493499756,6.710687637329102,Pericyte
2.409163236618042,6.734562873840332,Pericyte
2.3402369022369385,6.969031810760498,Pericyte
2.3691537380218506,7.016672134399414,Pericyte
2.3892812728881836,6.756173610687256,Pericyte
2.3420536518096924,6.8630194664001465,Pericyte
2.347987651824951,6.875915050506592,Pericyte
2.4071028232574463,6.818285942077637,Pericyte
2.242985725402832,6.978682041168213,Pericyte
2.4892375469207764,6.725386619567871,Pericyte
2.3883965015411377,6.705636501312256,Pericyte
-1.55532515,-4.58987999,Retinal pigment epithelium
-1.229509592,-4.509617805,Retinal pigment epithelium
-1.308496952,-4.454750061,Retinal pigment epithelium
-1.464998007,-4.336369038,Retinal pigment epithelium
-1.258868814,-4.815382004,Retinal pigment epithelium
-1.382291317,-4.731014252,Retinal pigment epithelium
-1.25840652,-4.634454727,Retinal pigment epithelium
-1.317234397,-4.694978714,Retinal pigment epithelium
-1.470249176,-4.534750938,Retinal pigment epithelium
-1.248320699,-4.824613571,Retinal pigment epithelium
-1.435206771,-4.607683659,Retinal pigment epithelium
-1.517854214,-4.585144043,Retinal pigment epithelium
-1.321858406,-4.671210766,Retinal pigment epithelium
-1.422809124,-4.6921134,Retinal pigment epithelium
-1.363115668,-4.497068882,Retinal pigment epithelium
-1.467908025,-4.714028835,Retinal pigment epithelium
-1.393298626,-4.557061672,Retinal pigment epithelium
-1.170003295,-4.752681732,Retinal pigment epithelium
-1.417157054,-4.606238365,Retinal pigment epithelium
-1.437056541,-4.711740494,Retinal pigment epithelium
-1.43619144,-4.647245407,Retinal pigment epithelium
-1.30927372,-4.700245857,Retinal pigment epithelium
-1.313480854,-4.761872768,Retinal pigment epithelium
-1.246843815,-4.616580009,Retinal pigment epithelium
-1.489259481,-4.581596375,Retinal pigment epithelium
-1.564653158,-4.547609806,Retinal pigment epithelium
-1.307831168,-4.680571079,Retinal pigment epithelium
-1.304671645,-4.660325527,Retinal pigment epithelium
-1.138656497,-4.657118797,Retinal pigment epithelium
-1.497552156,-4.527886391,Retinal pigment epithelium
-1.410803437,-4.626859665,Retinal pigment epithelium
-1.395287752,-4.828022957,Retinal pigment epithelium
-1.377724171,-4.558629036,Retinal pigment epithelium
-1.23304379,-4.638438702,Retinal pigment epithelium
-1.298823118,-4.694816589,Retinal pigment epithelium
-0.908168435,-4.569826603,Retinal pigment epithelium
-1.40426147,-4.666537285,Retinal pigment epithelium
-1.367004156,-4.732615948,Retinal pigment epithelium
-1.32019341,-4.547311783,Retinal pigment epithelium
-1.044005871,-4.75531435,Retinal pigment epithelium
-1.367105484,-4.645318031,Retinal pigment epithelium
-1.558280706,-4.468069553,Retinal pigment epithelium
-1.393869162,-4.598668575,Retinal pigment epithelium
-1.16615057,-4.49815464,Retinal pigment epithelium
-1.2949512,-4.740368366,Retinal pigment epithelium
